CEP,NUM,LATITUDE,LONGITUDE
65072005,96,-2.4872305,-44.2506454
65042876,96,-2.5439293,-44.2247123
65036720,96,-2.5387434,-44.2666721
65020010,96,-2.5270686,-44.2947415
65072881,96,-2.4866252,-44.2543271
65090695,96,-2.6295627,-44.2660034
65092700,95,-2.6849910,-44.2982151
65045410,95,-2.5730889,-44.2263253
65072240,95,-2.5090869,-44.2469596
65036283,95,-2.5447709,-44.2574407
65031270,94,-2.5542971,-44.2519277
65055720,94,-2.5648439,-44.2177321
65080360,94,-2.5609213,-44.3009965
65072561,94,-2.5159246,-44.2478454
65058222,94,-2.5673296,-44.2027979
65020270,94,-2.5259914,-44.2953450
65055366,94,-2.5694942,-44.2144721
65061020,93,-2.5335323,-44.2602127
65075170,93,-2.4947907,-44.2916373
65042853,93,-2.5616502,-44.2674342
65060809,93,-2.5448809,-44.2268174
65049090,92,-2.5413247,-44.2438103
65010280,92,-2.5333822,-44.3029856
65058677,92,-2.5883510,-44.2058360
65077630,92,-2.4889171,-44.2978603
65044660,92,-2.5579646,-44.2699180
65058063,92,-2.5123761,-44.2262621
65036670,92,-2.5411326,-44.2751045
65058031,92,-2.5679726,-44.1977009
65044240,92,-2.5691020,-44.2669161
65077657,91,-2.5445901,-44.2928566
65090776,91,-2.5443108,-44.2380038
65092692,91,-2.6849910,-44.2982151
65056010,91,-2.5641142,-44.2179233
65020290,91,-2.5261571,-44.2975067
65030105,91,-2.5360993,-44.2885829
65046050,91,-2.5031637,-44.3125949
65090414,91,-2.5681265,-44.2292620
65092290,90,-2.5391099,-44.2829046
65050854,90,-2.5529865,-44.2262224
65056572,90,-2.5654020,-44.2144575
65043290,90,-2.5502241,-44.2628602
65025610,90,-2.5357515,-44.2947020
65044220,90,-2.5675949,-44.2652471
65058411,90,-2.5391099,-44.2829046
65057757,90,-2.5998506,-44.2194309
65044210,89,-2.5643383,-44.2651408
65057638,89,-2.5391099,-44.2829046
65074770,89,-2.5109577,-44.2652534
65057883,89,-2.5793493,-44.1624906
65053740,89,-2.5416425,-44.2085796
65071395,89,-2.5391099,-44.2829046
